Heat Date,Heat No,Grade,Shape,Shift Incharge,Liq Temperature,Lift Temperature,Heat COmpany,Cut Length1,Cut Length2,Cut Length3,Cut Length4,Cut Length5,NI,MO,NI&MO
28-01-2025,200315/16,SAE 1050(M),BILLET,VCK,1500,1575,KSL,3.63 TO 3.66,,,,,NO,NO,NO
28-01-2025,200317/19,DIN1.1213,BLOOM,VCK,1497,1570,ML,2.91 TO 2.94,2.52 TO 2.55---2 ND HEAT,,,,NO,NO,NO
28-01-2025,200321/22,SAE 1050(M),BILLET,CSP,1496,1570,KSL,3.63 TO 3.66(1ST HEAT),3.57 TO 3.60(2ND HEAT),,,,NO,NO,NO
28-01-2025,200323,92520,BLOOM,CSP,1513,1585,ML,4.03 TO 4.06,,,,,YES,YES,YES
28-01-2025,200324/25,SAE 1050(M),BILLET,CSP,1496,1575,KSL,3.57 TO 3.60,,,,,NO,NO,NO
28-01-2025,200326/27,SCM420HV/SCM 420HS1,BLOOM,CSP,1518,1599,ML,3.20 TO 3.25,,,,,NO,YES,NO
28-01-2025,200328/32,42CrMo4,BLOOM,SAKTHIVEL,1502,1575,KSL,4.18 TO 4.21 (1ST HEAT),4.20 TO 4.23 (2ND HEAT),,,,NO,YES,NO
28-01-2025,200329/30,CMA-1,BILLET,CSP,1500,1575,KSL,3.49 TO 3.52(1ST HEAT),3.64 TO 3.67(2ND HEAT),,,,NO,NO,NO
28-01-2025,200333/34,C70,BILLET,SAKTHIVEL,1486,1570,KSL,3.55 TO 3.58,,,,,NO,YES,NO
28-01-2025,200339/40,SAE 8319,BILLET,SAKTHIVEL,1515,1595,KSL,3.52 TO 3.55 (1ST & 2ND HEAT),3.46 TO 3.49 (3RD HEAT),,,,YES,YES,YES
28-01-2025,200341/43,100Cr6HS,BLOOM,SAKTHIVEL,1466,1540,ML,3.85 TO 3.90,,,,,NO,NO,NO
28-01-2025,200346/45,54SiCr6,BILLET,RAGHU,1486,1555,ML,11.80 TO 11.90,,,,,NO,NO,NO
28-01-2025,200347/49,44MnSiVS6,BLOOM,RAGHU,1497,1570,KSL,4.20 TO 4.25,,,,,NO,YES,NO
28-01-2025,20035/36,SAE8620ALN,BLOOM,SAKTHIVEL,1516,1595,ML,"""3.79 TO 3.82(8 PCS) (1ST HEAT)",3.86 TO 3.89(6 PCS) (1ST HEAT),"3.85 TO 3.90 (REST)""(1ST HEAT)",4.17 TO 4.20 (2ND & 3RD HEAT),,YES,YES,YES
28-01-2025,200351/52,SCM 435CHQ,BILLET,RAGHU,1508,1583,ML,11.80 TO 11.90,,,,,NO,YES,YES
28-01-2025,200353/55,S35CP2,BLOOM,RAGHU,1511,1585,ML,3.85 TO 3.90,,,,,NO,NO,NO
29-01-2025,200357/58,SANC1,BILLET,CSP,1518,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
29-01-2025,200361/62,GRADE  T11/P11,BLOOM,CSP,1523,1605,KSL,5.78 TO 5.83,,,,,NO,YES,NO
29-01-2025,200364/65,SAE 1025,BILLET,CSP,1520,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
29-01-2025,200369/70,20CrMOS5,BILLET,SAKTHIVEL,1516,1590,ML,11.80 TO 11.90,,,,,NO,YES,NO
29-01-2025,200371/73,GRADE  T11/P11,BLOOM,SAKTHIVEL,1523,1602,KSL,5.78 TO 5.83,,,,,NO,YES,NO
29-01-2025,200372/74,16MnCr5LSi,BILLET,SAKTHIVEL,1519,1600,ML,11.80 TO 11.90,11.80 TO 11.90,,,,NO,NO,NO
29-01-2025,200375/77,GRADE  T11/P11,BLOOM,SAKTHIVEL,1523,1600,KSL,5.78 TO 5.83,,,,,NO,YES,NO
29-01-2025,200376/78,16MnCr5LSi,BILLET,SAKTHIVEL,1519,1595,ML,11.80 TO 11.90,,,,,NO,NO,NO
29-01-2025,200380/81,15B25PRF,BILLET,SAKTHIVEL,1517,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
29-01-2025,200384/83,GRADE  T11/P11,BLOOM,RAGHU,1522,1600,KSL,5.78 TO 5.83,,,,,NO,YES,NO
29-01-2025,200385/87,10B35S3,BILLET,RAGHU,1510,1590,ML,7.50 TO 7.55,,,,,NO,YES,NO
29-01-2025,200389,10B35S3,BILLET,RAGHU,1509,1575,ML,7.50 TO 7.55,,,,,NO,YES,NO
29-01-2025,200391,10B35S0,BILLET,RAGHU,1515,1590,ML,7.50 TO 7.55,,,,,NO,NO,NO
29-01-2025,200890/92,GRADE  T22/P22,BLOOM,RAGHU,1522,1600,KSL,6.38 TO 6.43,,,,,NO,YES,NO
